horsepower,weight,displacement,cylinders
230.0,4278.0,400.0,8
49.0,1867.0,68.0,4
75.0,2158.0,116.0,4
91.0,2582.0,114.0,4
112.0,2868.0,121.0,4
150.0,3399.0,318.0,8
110.0,2660.0,121.0,4
122.0,2807.0,156.0,6
180.0,3664.0,350.0,8
95.0,3102.0,198.0,6
85.0,2875.0,200.0,6
100.0,2901.0,232.0,6
100.0,3336.0,250.0,6
67.0,1950.0,79.0,4
80.0,2451.0,122.0,4
65.0,1836.0,71.0,4
75.0,2542.0,140.0,4
100.0,3781.0,250.0,6
110.0,3632.0,258.0,6
105.0,3613.0,225.0,6
140.0,4141.0,302.0,8
150.0,4699.0,350.0,8
150.0,4457.0,318.0,8
140.0,4638.0,302.0,8
150.0,4257.0,304.0,8
83.0,2219.0,98.0,4
67.0,1963.0,79.0,4
78.0,2300.0,97.0,4
52.0,1649.0,76.0,4
61.0,2003.0,83.0,4
75.0,2125.0,90.0,4
75.0,2108.0,90.0,4
75.0,2246.0,116.0,4
97.0,2489.0,120.0,4
93.0,2391.0,108.0,4
67.0,2000.0,79.0,4
95.0,3264.0,225.0,6
105.0,3459.0,250.0,6
72.0,3432.0,250.0,6
72.0,3158.0,250.0,6
170.0,4668.0,400.0,8
145.0,4440.0,350.0,8
150.0,4498.0,318.0,8
148.0,4657.0,351.0,8
110.0,3907.0,231.0,6
105.0,3897.0,250.0,6
110.0,3730.0,258.0,6
95.0,3785.0,225.0,6
110.0,3039.0,231.0,6
110.0,3221.0,262.0,8
129.0,3169.0,302.0,8
75.0,2171.0,97.0,4
83.0,2639.0,140.0,4
100.0,2914.0,232.0,6
78.0,2592.0,140.0,4
96.0,2702.0,134.0,4
71.0,2223.0,90.0,4
97.0,2545.0,119.0,4
97.0,2984.0,171.0,6
70.0,1937.0,90.0,4
90.0,3211.0,232.0,6
95.0,2694.0,115.0,4
88.0,2957.0,120.0,4
98.0,2945.0,121.0,4
115.0,2671.0,121.0,4
53.0,1795.0,91.0,4
86.0,2464.0,107.0,4
81.0,2220.0,116.0,4
92.0,2572.0,140.0,4
79.0,2255.0,98.0,4
83.0,2202.0,101.0,4
140.0,4215.0,305.0,8
150.0,4190.0,318.0,8
120.0,3962.0,304.0,8
152.0,4215.0,351.0,8
100.0,3233.0,225.0,6
105.0,3353.0,250.0,6
81.0,3012.0,200.0,6
90.0,3085.0,232.0,6
52.0,2035.0,85.0,4
60.0,2164.0,98.0,4
70.0,1937.0,90.0,4
53.0,1795.0,91.0,4
100.0,3651.0,225.0,6
78.0,3574.0,250.0,6
110.0,3645.0,250.0,6
95.0,3193.0,258.0,6
71.0,1825.0,97.0,4
70.0,1990.0,85.0,4
75.0,2155.0,97.0,4
72.0,2565.0,140.0,4
102.0,3150.0,130.0,4
150.0,3940.0,318.0,8
88.0,3270.0,120.0,4
108.0,2930.0,156.0,6
120.0,3820.0,168.0,6
180.0,4380.0,350.0,8
145.0,4055.0,350.0,8
130.0,3870.0,302.0,8
150.0,3755.0,318.0,8
68.0,2045.0,98.0,4
80.0,2155.0,111.0,4
58.0,1825.0,79.0,4
96.0,2300.0,122.0,4
70.0,1945.0,85.0,4
145.0,3880.0,305.0,8
110.0,4060.0,260.0,8
145.0,4140.0,318.0,8
130.0,4295.0,302.0,8
110.0,3520.0,250.0,6
105.0,3425.0,231.0,6
100.0,3630.0,225.0,6
98.0,3525.0,250.0,6
180.0,4220.0,400.0,8
170.0,4165.0,350.0,8
190.0,4325.0,400.0,8
149.0,4335.0,351.0,8
78.0,1940.0,97.0,4
88.0,2740.0,151.0,4
75.0,2265.0,97.0,4
89.0,2755.0,140.0,4
63.0,2051.0,98.0,4
83.0,2075.0,98.0,4
67.0,1985.0,97.0,4
78.0,2190.0,97.0,4
97.0,2815.0,146.0,6
110.0,2600.0,121.0,4
110.0,2720.0,80.0,3
48.0,1985.0,90.0,4
66.0,1800.0,98.0,4
52.0,1985.0,78.0,4
70.0,2070.0,85.0,4
60.0,1800.0,91.0,4
110.0,3365.0,260.0,8
140.0,3735.0,318.0,8
139.0,3570.0,302.0,8
105.0,3535.0,231.0,6
95.0,3155.0,200.0,6
85.0,2965.0,200.0,6
88.0,2720.0,140.0,4
100.0,3430.0,225.0,6
90.0,3210.0,232.0,6
105.0,3380.0,231.0,6
85.0,3070.0,200.0,6
110.0,3620.0,225.0,6
120.0,3410.0,258.0,6
145.0,3425.0,305.0,8
165.0,3445.0,231.0,6
139.0,3205.0,302.0,8
140.0,4080.0,318.0,8
68.0,2155.0,98.0,4
95.0,2560.0,134.0,4
97.0,2300.0,119.0,4
75.0,2230.0,105.0,4
95.0,2515.0,134.0,4
105.0,2745.0,156.0,4
85.0,2855.0,151.0,4
97.0,2405.0,119.0,4
103.0,2830.0,131.0,5
125.0,3140.0,163.0,6
115.0,2795.0,121.0,4
133.0,3410.0,163.0,6
71.0,1990.0,89.0,4
68.0,2135.0,98.0,4
115.0,3245.0,231.0,6
85.0,2990.0,200.0,6
88.0,2890.0,140.0,4
90.0,3265.0,232.0,6
110.0,3360.0,225.0,6
130.0,3840.0,305.0,8
129.0,3725.0,302.0,8
138.0,3955.0,351.0,8
135.0,3830.0,318.0,8
155.0,4360.0,350.0,8
142.0,4054.0,351.0,8
125.0,3605.0,267.0,8
150.0,3940.0,360.0,8
71.0,1925.0,89.0,4
65.0,1975.0,86.0,4
80.0,1915.0,98.0,4
80.0,2670.0,121.0,4
77.0,3530.0,183.0,5
125.0,3900.0,350.0,8
71.0,3190.0,141.0,4
90.0,3420.0,260.0,8
70.0,2200.0,105.0,4
70.0,2150.0,105.0,4
65.0,2020.0,85.0,4
69.0,2130.0,91.0,4
90.0,2670.0,151.0,4
115.0,2595.0,173.0,6
115.0,2700.0,173.0,6
90.0,2556.0,151.0,4
76.0,2144.0,98.0,4
60.0,1968.0,89.0,4
70.0,2120.0,98.0,4
65.0,2019.0,86.0,4
90.0,2678.0,151.0,4
88.0,2870.0,140.0,4
90.0,3003.0,151.0,4
90.0,3381.0,225.0,6
78.0,2188.0,97.0,4
90.0,2711.0,134.0,4
75.0,2542.0,120.0,4
92.0,2434.0,119.0,4
75.0,2265.0,108.0,4
65.0,2110.0,86.0,4
105.0,2800.0,156.0,4
65.0,2110.0,85.0,4
48.0,2085.0,90.0,4
48.0,2335.0,90.0,4
67.0,2950.0,121.0,5
67.0,3250.0,146.0,4
67.0,1850.0,91.0,4
53.5,1835.0,85.0,4
67.0,2145.0,97.0,4
62.0,1845.0,89.0,4
132.0,2910.0,168.0,6
100.0,2420.0,70.0,3
88.0,2500.0,122.0,4
72.0,2290.0,107.0,4
84.0,2490.0,135.0,4
84.0,2635.0,151.0,4
92.0,2620.0,156.0,4
110.0,2725.0,173.0,6
84.0,2385.0,135.0,4
58.0,1755.0,79.0,4
64.0,1875.0,86.0,4
60.0,1760.0,81.0,4
67.0,2065.0,97.0,4
65.0,1975.0,85.0,4
62.0,2050.0,89.0,4
68.0,1985.0,91.0,4
63.0,2215.0,105.0,4
65.0,2045.0,98.0,4
65.0,2380.0,98.0,4
74.0,2190.0,105.0,4
81.5,2320.0,100.0,4
75.0,2210.0,107.0,4
75.0,2350.0,108.0,4
100.0,2615.0,119.0,4
74.0,2635.0,120.0,4
80.0,3230.0,141.0,4
76.0,3160.0,145.0,6
116.0,2900.0,168.0,6
120.0,2930.0,146.0,6
110.0,3415.0,231.0,6
105.0,3725.0,350.0,8
88.0,3060.0,200.0,6
85.0,3465.0,225.0,6
88.0,2605.0,112.0,4
88.0,2640.0,112.0,4
88.0,2395.0,112.0,4
85.0,2575.0,112.0,4
84.0,2525.0,135.0,4
90.0,2735.0,151.0,4
92.0,2865.0,140.0,4
90.0,3035.0,151.0,4
74.0,1980.0,105.0,4
68.0,2025.0,91.0,4
68.0,1970.0,91.0,4
63.0,2125.0,105.0,4
70.0,2125.0,98.0,4
88.0,2160.0,120.0,4
75.0,2205.0,107.0,4
70.0,2245.0,108.0,4
67.0,1965.0,91.0,4
67.0,1965.0,91.0,4
67.0,1995.0,91.0,4
110.0,2945.0,181.0,6
85.0,3015.0,262.0,6
92.0,2585.0,156.0,4
112.0,2835.0,232.0,6
96.0,2665.0,144.0,4
84.0,2370.0,135.0,4
90.0,2950.0,151.0,4
86.0,2790.0,140.0,4
52.0,2130.0,97.0,4
84.0,2295.0,135.0,4
79.0,2625.0,120.0,4
82.0,2720.0,119.0,4
